timestamp_s,in_attention
0.02,1
1.03,1
2.04,1
3.04,1
4.04,1
5.05,1
6.05,1
7.06,1
8.06,1
9.06,1
10.06,0
11.08,0
12.08,1
13.09,1
14.09,0
15.09,0
16.10,0
17.10,1
18.10,0
19.11,1
20.13,1
21.14,1
22.15,1
23.16,1
24.16,1
25.16,1
26.17,1
27.17,0
28.17,0
29.18,0
30.18,0
31.19,0
32.19,0
33.20,0
34.20,1
35.20,1
36.21,1
37.21,1
38.22,1
39.22,1
40.23,1
41.24,1
42.24,0
43.25,1
44.26,1
45.26,0
46.27,0
47.27,1
48.27,0
49.28,0
50.29,1
51.29,1
52.29,1
53.30,1
54.30,1
55.31,1
56.31,1
57.32,1
58.33,1
59.33,1
60.34,1
61.35,1
62.36,1
63.36,1
64.37,1
65.37,1
66.37,1
67.39,1
68.39,1
69.40,1
70.40,1
71.41,1
72.41,1
73.42,1
74.42,1
75.43,1
76.43,1
77.44,1
78.45,1
79.45,1
80.44,1
81.45,1
82.46,1
83.46,1
84.47,1
85.47,1
86.47,1
87.48,1
88.48,0
89.49,0
90.49,0
91.50,0
92.50,0
93.50,0
94.51,0
95.52,0
96.53,0
97.53,1
98.54,1
99.54,1
100.56,1
101.56,1
102.56,1
103.56,1
104.57,1
105.57,1
106.59,1
107.59,1
108.60,1
109.60,1
110.61,0
111.62,0
112.62,0
113.64,0
114.64,0
115.65,0
116.66,0
117.67,0
118.67,0
119.68,1
120.69,1
121.69,1
122.69,1
123.70,1
124.70,1
125.70,1
126.72,1
127.72,1
128.73,1
129.74,1
130.74,1
131.75,1
132.76,1
133.76,0
134.77,0
135.78,0
136.78,1
137.79,1
138.80,1
139.80,0
140.81,1
141.81,0
142.82,0
143.83,1
144.83,0
145.83,0
146.84,0
147.85,0
148.85,0
149.86,0
150.86,0
151.87,1
152.87,0
153.88,0
154.88,0
155.88,0
156.89,0
157.90,0
158.90,0
159.91,0
160.92,0
161.92,0
162.93,0
